JDKVersion,PythonVersion,Result
11-open,3.8.19,FAIL
11-open,3.9.19,FAIL
11-open,3.10.14,FAIL
11-open,3.11.9,FAIL
11-open,3.12.2,FAIL
17-open,3.8.19,FAIL
17-open,3.9.19,FAIL
17-open,3.10.14,FAIL
17-open,3.11.9,FAIL
17-open,3.12.2,FAIL
21-open,3.8.19,FAIL
21-open,3.9.19,FAIL
21-open,3.10.14,FAIL
21-open,3.11.9,FAIL
21-open,3.12.2,FAIL
21.0.3-amzn,3.8.19,FAIL
21.0.3-amzn,3.9.19,FAIL
21.0.3-amzn,3.10.14,FAIL
21.0.3-amzn,3.11.9,FAIL
21.0.3-amzn,3.12.2,FAIL
17.0.11-amzn,3.8.19,FAIL
17.0.11-amzn,3.9.19,FAIL
17.0.11-amzn,3.10.14,FAIL
17.0.11-amzn,3.11.9,FAIL
17.0.11-amzn,3.12.2,FAIL
11.0.23-amzn,3.8.19,FAIL
11.0.23-amzn,3.9.19,FAIL
11.0.23-amzn,3.10.14,FAIL
11.0.23-amzn,3.11.9,FAIL
11.0.23-amzn,3.12.2,FAIL
8.0.412-amzn,3.8.19,FAIL
8.0.412-amzn,3.9.19,FAIL
8.0.412-amzn,3.10.14,FAIL
8.0.412-amzn,3.11.9,FAIL
8.0.412-amzn,3.12.2,FAIL
21.0.3-oracle,3.8.19,FAIL
21.0.3-oracle,3.9.19,FAIL
21.0.3-oracle,3.10.14,FAIL
21.0.3-oracle,3.11.9,FAIL
21.0.3-oracle,3.12.2,FAIL
17.0.11-oracle,3.8.19,FAIL
17.0.11-oracle,3.9.19,FAIL
17.0.11-oracle,3.10.14,FAIL
17.0.11-oracle,3.11.9,FAIL
17.0.11-oracle,3.12.2,FAIL
21.0.3-tem,3.8.19,FAIL
21.0.3-tem,3.9.19,FAIL
21.0.3-tem,3.10.14,FAIL
21.0.3-tem,3.11.9,FAIL
21.0.3-tem,3.12.2,FAIL
17.0.11-tem,3.8.19,FAIL
17.0.11-tem,3.9.19,FAIL
17.0.11-tem,3.10.14,FAIL
17.0.11-tem,3.11.9,FAIL
17.0.11-tem,3.12.2,FAIL
11.0.23-tem,3.8.19,FAIL
11.0.23-tem,3.9.19,FAIL
11.0.23-tem,3.10.14,FAIL
11.0.23-tem,3.11.9,FAIL
11.0.23-tem,3.12.2,FAIL
21.0.3-zulu,3.8.19,FAIL
21.0.3-zulu,3.9.19,FAIL
21.0.3-zulu,3.10.14,FAIL
21.0.3-zulu,3.11.9,FAIL
21.0.3-zulu,3.12.2,FAIL
17.0.11-zulu,3.8.19,FAIL
17.0.11-zulu,3.9.19,FAIL
17.0.11-zulu,3.10.14,FAIL
17.0.11-zulu,3.11.9,FAIL
17.0.11-zulu,3.12.2,FAIL
11.0.23-zulu,3.8.19,FAIL
11.0.23-zulu,3.9.19,FAIL
11.0.23-zulu,3.10.14,FAIL
11.0.23-zulu,3.11.9,FAIL
11.0.23-zulu,3.12.2,FAIL
8.0.412-zulu,3.8.19,FAIL
8.0.412-zulu,3.9.19,FAIL
8.0.412-zulu,3.10.14,FAIL
8.0.412-zulu,3.11.9,FAIL
8.0.412-zulu,3.12.2,FAIL
